Unnamed: 0,Content ID,Reaction_type
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,love
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,like
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,want
42,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested
43,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent
44,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried
45,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate
46,9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate
54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like
55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love
56,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love
57,9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart
58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent
59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking
60,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love
61,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like
62,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart
63,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate
64,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love
65,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore
66,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared
